Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Engagement_Score,Average_Marks,Risk_Level
21,84,2,2,1,6,52,1,1,1,2,0,1,1,2,1,0,0,0,65,52.5,58.5,Low Risk
19,63,1,0,0,7,94,2,1,1,2,2,0,2,3,0,1,1,1,64,41.0,79.0,Low Risk
18,94,2,0,1,7,82,2,1,3,2,2,0,0,2,1,0,2,1,70,56.0,76.0,Low Risk
11,98,2,2,1,9,82,1,1,1,2,2,0,2,3,0,2,0,1,68,54.5,75.0,Low Risk
16,70,2,2,1,8,98,2,1,2,2,2,1,2,3,0,1,1,1,65,43.0,81.5,Low Risk
17,78,2,2,1,6,88,2,1,1,2,0,0,2,3,0,0,2,0,68,47.5,78.0,Low Risk
26,61,2,1,1,6,70,2,1,2,1,2,1,2,3,0,1,1,0,64,43.5,67.0,Low Risk
22,86,1,2,1,7,72,1,1,3,1,0,1,2,2,0,1,1,1,68,54.0,70.0,Low Risk
9,77,2,2,0,5,57,2,1,2,2,0,1,1,3,0,1,2,1,63,43.0,60.0,Low Risk
22,71,1,2,1,7,65,1,1,1,2,1,1,2,4,0,0,1,1,64,46.5,64.5,Low Risk
18,68,0,2,0,7,72,2,1,0,2,2,1,1,3,0,0,2,1,64,43.0,68.0,Low Risk
16,86,1,2,1,8,63,2,1,2,2,2,1,2,4,0,1,2,1,67,51.0,65.0,Low Risk
24,77,0,1,0,8,96,2,1,0,2,2,1,1,3,0,1,2,0,67,50.5,81.5,Low Risk
26,67,2,0,1,7,51,1,1,2,0,0,0,1,4,1,2,0,0,66,46.5,58.5,Low Risk
26,88,2,0,1,5,79,2,1,1,1,0,0,2,4,0,0,1,1,72,57.0,75.5,Low Risk
15,83,2,0,0,5,89,1,0,1,2,0,1,1,2,1,1,2,0,65,49.0,77.0,Low Risk
18,94,2,2,1,6,87,0,1,1,2,2,1,2,4,0,1,2,1,71,56.0,79.0,Low Risk
22,65,0,1,0,8,82,2,1,2,2,0,1,2,1,0,2,2,0,66,43.5,74.0,Low Risk
26,91,2,1,1,8,71,2,1,0,1,2,0,1,3,0,1,1,1,68,58.5,69.5,Low Risk
17,87,2,2,0,7,96,2,1,1,0,2,1,0,5,0,2,2,0,70,52.0,83.0,Low Risk
19,65,2,2,1,10,66,1,1,0,1,2,1,2,3,0,1,1,1,62,42.0,64.0,Low Risk
13,88,1,0,1,9,88,0,1,2,1,0,0,0,4,0,2,0,1,68,50.5,78.0,Low Risk
13,78,2,0,1,9,96,0,1,2,1,2,1,1,3,0,0,1,1,67,45.5,81.5,Low Risk
25,98,1,0,1,8,56,2,0,0,2,0,0,1,3,0,2,2,1,71,61.5,63.5,Low Risk
28,66,2,0,1,8,97,2,1,0,2,2,1,1,2,0,1,2,1,68,47.0,82.5,Low Risk
20,86,2,2,1,8,89,2,1,1,1,2,1,0,3,0,2,2,1,69,53.0,79.0,Low Risk
26,75,1,0,1,4,81,0,1,3,2,0,0,2,2,0,1,1,1,70,50.5,75.5,Low Risk
22,98,2,0,0,5,69,1,0,1,1,0,1,0,4,0,1,1,0,69,60.0,69.0,Low Risk
16,73,2,2,0,7,95,2,1,1,1,2,1,0,4,0,0,2,1,65,44.5,80.0,Low Risk
22,98,2,1,1,7,52,2,0,3,2,2,1,2,3,0,0,2,0,70,60.0,61.0,Low Risk
29,96,2,1,1,7,72,2,1,1,1,2,1,2,3,0,1,1,1,71,62.5,71.5,Low Risk
20,71,2,2,1,7,88,2,1,1,1,1,1,1,4,0,0,2,0,65,45.5,76.5,Low Risk
29,92,1,2,0,4,91,2,1,2,2,2,1,0,1,0,2,2,0,72,60.5,81.5,Low Risk
4,100,0,0,1,8,60,0,1,0,2,0,0,2,4,0,0,1,1,69,52.0,64.5,Low Risk
25,70,2,2,0,7,52,2,1,1,2,2,1,2,3,0,2,2,0,66,47.5,59.0,Low Risk
21,77,1,2,1,7,90,2,1,4,2,2,0,1,3,0,2,1,1,68,49.0,79.0,Low Risk
18,81,0,1,1,8,71,2,1,0,2,2,1,1,3,0,1,1,0,65,49.5,68.0,Low Risk
21,72,2,2,1,5,57,2,1,1,0,2,1,1,5,1,0,1,1,64,46.5,60.5,Low Risk
8,61,2,2,1,7,54,2,1,1,0,2,1,2,3,0,0,2,1,60,34.5,57.0,Low Risk
19,69,2,0,1,7,82,0,1,1,1,2,1,0,2,0,1,2,1,65,44.0,73.5,Low Risk
22,71,0,2,0,6,79,0,1,1,1,1,1,2,3,0,1,2,1,66,46.5,72.5,Low Risk
29,78,0,0,1,4,93,1,1,5,2,0,1,1,3,0,0,2,1,74,53.5,83.5,Low Risk
17,67,2,2,1,5,52,0,1,2,2,2,0,0,3,0,1,0,0,62,42.0,57.0,Low Risk
15,95,2,2,0,7,93,2,1,2,1,2,1,2,4,0,0,1,1,70,55.0,81.5,Low Risk
17,88,2,0,1,7,94,1,1,0,2,2,1,1,3,0,1,2,1,69,52.5,81.5,Low Risk
25,63,2,0,1,7,72,2,1,3,2,0,0,0,4,0,0,0,1,67,44.0,69.5,Low Risk
22,86,1,1,0,6,54,2,1,2,2,2,1,1,0,0,1,1,1,64,54.0,59.0,Low Risk
17,86,2,0,0,5,97,0,1,3,0,2,1,1,3,0,0,2,1,71,51.5,84.0,Low Risk
23,98,2,1,1,7,54,1,1,0,2,2,1,0,3,0,0,2,0,68,60.5,61.0,Low Risk
21,60,0,2,0,7,80,2,1,0,2,0,1,1,4,1,0,2,1,64,40.5,72.0,Low Risk
26,70,2,1,1,8,75,2,1,1,2,1,0,1,4,1,1,0,0,63,48.0,69.0,Low Risk
16,97,2,2,1,6,92,1,1,0,0,2,0,2,4,0,0,2,1,71,56.5,81.5,Low Risk
18,97,0,2,1,4,75,1,1,0,1,2,1,2,3,0,1,1,1,69,57.5,72.0,Low Risk
18,89,0,2,1,4,73,2,1,3,0,2,0,2,2,0,0,2,0,100,53.5,86.5,Low Risk
11,91,2,2,0,6,94,2,1,3,2,2,1,1,3,0,0,1,1,68,51.0,81.0,Low Risk
22,64,1,2,0,7,98,1,0,1,2,2,1,0,3,0,1,2,1,62,43.0,80.0,Low Risk
22,81,2,2,1,7,77,1,1,2,2,2,1,2,3,0,2,0,0,68,51.5,72.5,Low Risk
20,69,0,0,1,6,73,2,1,2,1,2,0,2,3,0,1,0,1,66,44.5,69.5,Low Risk
19,67,1,2,0,5,92,0,1,0,2,2,1,2,3,0,0,2,1,64,43.0,78.0,Low Risk
12,92,2,2,0,4,92,0,1,2,2,0,1,1,3,1,1,1,1,67,52.0,79.5,Low Risk
17,65,2,0,1,8,66,2,1,1,0,0,1,1,4,1,2,1,0,65,41.0,65.5,Low Risk
18,79,2,2,1,7,79,2,1,0,1,0,0,1,3,0,0,0,1,65,48.5,72.0,Low Risk
15,98,0,2,0,6,58,0,1,0,1,0,1,2,3,0,0,2,1,69,56.5,63.5,Low Risk
19,67,2,2,0,5,82,0,1,1,1,1,0,0,3,0,1,2,1,63,43.0,72.5,Low Risk
22,99,2,1,1,6,92,1,1,3,2,2,1,0,4,0,2,1,1,72,60.5,82.0,Low Risk
31,100,2,2,0,7,59,2,1,2,0,0,1,2,5,0,2,1,1,76,65.5,67.5,Low Risk
21,82,2,0,1,7,66,0,1,3,1,2,1,2,3,1,0,2,0,69,51.5,67.5,Low Risk
22,67,2,2,1,7,72,0,1,3,1,0,1,2,2,0,2,1,0,67,44.5,69.5,Low Risk
20,73,0,2,1,9,92,2,1,2,2,0,1,2,3,0,0,2,1,69,46.5,80.5,Low Risk
8,77,0,2,1,6,87,2,1,0,1,2,1,1,2,0,1,1,1,63,42.5,75.0,Low Risk
20,72,2,2,0,9,66,2,1,3,1,0,0,2,3,0,2,2,1,67,46.0,66.5,Low Risk
20,71,1,0,1,7,62,0,1,2,2,2,1,0,5,0,0,2,1,66,45.5,64.0,Low Risk
35,99,0,0,1,7,85,1,1,2,2,0,0,1,2,0,2,2,0,79,67.0,82.0,Low Risk
19,66,2,2,0,8,74,2,1,1,0,2,1,1,3,0,1,2,0,64,42.5,69.0,Low Risk
22,89,0,0,1,6,80,2,1,1,0,0,1,2,3,0,1,2,0,73,55.5,76.5,Low Risk
20,60,1,0,0,7,82,0,1,2,1,0,1,2,4,1,1,2,1,63,40.0,72.5,Low Risk
13,84,2,2,0,5,78,2,1,1,1,0,1,2,2,0,1,2,1,65,48.5,71.5,Low Risk
27,97,1,0,1,8,81,2,1,0,0,2,1,2,5,0,1,2,0,73,62.0,77.0,Low Risk
25,72,0,0,1,8,94,1,1,2,1,2,0,2,4,0,0,1,0,70,48.5,82.0,Low Risk
25,67,0,2,0,9,93,0,1,2,1,0,1,2,3,1,1,2,0,68,46.0,80.5,Low Risk
15,86,2,2,1,7,57,2,1,1,2,2,1,0,3,0,0,2,1,65,50.5,61.0,Low Risk
28,89,1,0,1,9,79,0,1,0,1,2,0,2,1,0,0,1,0,71,58.5,75.0,Low Risk
12,88,1,2,0,6,72,1,1,2,2,2,1,2,2,0,0,0,1,64,50.0,68.0,Low Risk
24,73,2,0,1,8,64,2,1,4,0,2,0,1,3,1,0,1,1,68,48.5,66.0,Low Risk
33,70,2,2,1,6,82,1,1,1,1,0,1,1,4,0,0,2,1,69,51.5,75.5,Low Risk
14,98,2,2,0,7,76,2,1,0,2,0,0,2,4,0,0,1,0,69,56.0,72.5,Low Risk
21,78,2,2,1,10,55,2,1,1,0,1,0,2,2,0,0,2,1,67,49.5,61.0,Low Risk
17,94,1,2,1,8,65,1,1,4,2,2,1,1,6,0,1,0,0,68,55.5,66.5,Low Risk
11,78,2,0,1,8,51,2,1,2,1,2,1,1,3,0,2,2,1,64,44.5,57.5,Low Risk
20,77,2,2,0,6,87,1,1,0,1,0,1,2,4,0,1,2,0,66,48.5,76.5,Low Risk
14,66,0,1,0,7,96,2,1,3,1,0,1,0,3,0,1,2,1,63,40.0,79.5,Low Risk
23,77,2,2,1,7,79,2,1,0,1,0,1,1,2,0,1,1,1,66,50.0,72.5,Low Risk
14,81,2,2,0,9,81,2,1,1,1,0,0,0,3,0,2,2,0,66,47.5,73.5,Low Risk
29,61,2,0,1,7,52,1,1,3,1,2,0,2,3,0,0,2,0,67,45.0,59.5,Low Risk
15,78,0,0,0,9,75,1,1,1,1,2,1,0,1,0,1,2,1,65,46.5,70.0,Low Risk
18,91,1,2,1,5,76,2,1,1,2,2,1,1,3,0,1,2,0,68,54.5,72.0,Low Risk
25,87,2,1,0,9,52,0,1,1,1,0,0,2,2,0,1,2,1,68,56.0,60.0,Low Risk
13,85,0,2,0,6,89,2,1,0,0,2,0,1,1,1,1,2,1,65,49.0,77.0,Low Risk
21,96,2,2,0,8,64,0,1,2,2,0,1,1,0,0,0,2,1,71,58.5,67.5,Low Risk
28,61,2,0,0,6,86,0,1,1,1,2,0,0,3,1,2,0,1,65,44.5,75.5,Low Risk
10,82,2,1,0,8,70,2,1,3,1,0,1,2,1,1,2,2,0,64,46.0,67.0,Low Risk
21,91,0,2,0,6,100,2,1,0,0,2,0,1,2,0,2,2,0,72,56.0,86.0,Low Risk
22,82,2,2,0,9,61,2,1,2,1,2,1,0,2,1,1,2,0,65,52.0,63.0,Low Risk
25,73,2,0,0,8,53,0,0,0,1,0,0,0,5,0,2,2,0,66,49.0,59.5,Low Risk
13,65,1,0,0,6,99,2,1,0,1,2,0,0,4,0,1,2,1,61,39.0,80.0,Low Risk
12,96,1,0,1,8,62,2,1,2,2,0,1,0,3,0,0,2,0,68,54.0,65.0,Low Risk
23,79,0,0,1,8,82,1,1,3,2,2,1,0,3,1,2,1,0,69,51.0,75.5,Low Risk
22,95,2,0,1,6,69,2,1,1,1,2,1,2,3,0,0,2,0,72,58.5,70.5,Low Risk
22,83,2,0,1,5,82,2,1,2,1,0,1,2,3,0,2,2,0,71,52.5,76.5,Low Risk
22,87,0,0,0,5,80,1,1,2,1,0,1,0,3,0,1,2,0,70,54.5,75.0,Low Risk
16,92,2,0,1,5,85,1,1,1,1,2,1,1,2,0,1,1,1,68,54.0,76.5,Low Risk
21,86,1,2,1,5,51,2,1,2,1,0,1,2,2,0,1,1,0,67,53.5,59.0,Low Risk
22,76,2,2,1,8,92,2,1,1,1,0,1,1,4,0,1,2,0,68,49.0,80.0,Low Risk
16,81,2,2,1,8,74,2,1,3,2,2,1,2,2,0,2,2,0,68,48.5,71.0,Low Risk
31,92,2,2,1,4,76,2,1,2,2,0,1,2,4,1,1,0,1,72,61.5,74.0,Low Risk
23,75,1,0,0,6,71,1,1,0,2,2,1,1,2,0,0,2,1,65,49.0,68.0,Low Risk
13,76,2,0,0,5,99,1,1,2,2,2,0,2,4,0,1,2,0,66,44.5,82.5,Low Risk
24,64,2,2,1,8,90,0,1,0,1,0,1,0,3,0,1,2,1,65,44.0,77.5,Low Risk
14,97,2,2,1,6,66,2,1,2,2,2,1,0,3,1,0,2,0,67,55.5,66.5,Low Risk
25,64,2,0,0,5,89,1,1,2,2,2,1,1,4,0,0,0,1,66,44.5,77.5,Low Risk
27,86,2,2,0,7,72,1,1,1,2,0,1,2,4,0,1,0,1,69,56.5,70.5,Low Risk
15,77,2,2,1,8,94,1,1,0,0,0,1,2,3,0,0,1,1,66,46.0,80.0,Low Risk
26,76,2,0,1,6,52,2,1,4,0,1,1,1,3,0,1,2,1,69,51.0,60.5,Low Risk
22,87,0,1,1,7,68,2,0,0,1,2,1,1,2,0,1,2,1,67,54.5,67.5,Low Risk
25,63,0,2,1,6,71,2,1,1,2,1,0,2,3,0,1,2,1,66,44.0,68.5,Low Risk
31,84,2,2,1,9,87,2,1,2,1,2,0,1,3,0,0,0,1,71,57.5,79.0,Low Risk
19,91,0,1,0,6,59,2,1,5,2,0,1,1,4,0,0,1,1,70,55.0,64.5,Low Risk
15,93,0,2,0,6,64,2,1,2,2,0,1,2,4,0,2,2,1,71,54.0,67.5,Low Risk
15,67,2,2,1,7,86,0,1,1,0,2,0,2,3,0,2,2,1,66,41.0,76.0,Low Risk
15,96,2,2,0,7,54,0,0,3,2,0,1,0,2,0,1,2,1,67,55.5,60.5,Low Risk
20,86,0,1,0,8,60,2,1,1,2,2,1,1,4,1,0,0,0,66,53.0,63.0,Low Risk
22,95,2,0,0,9,88,1,1,0,1,0,1,2,2,0,2,2,1,72,58.5,80.0,Low Risk
22,79,2,2,0,9,94,2,1,1,2,2,1,2,3,0,1,2,1,68,50.5,81.0,Low Risk
25,82,2,2,0,6,86,2,0,3,1,0,1,2,3,0,1,2,0,69,53.5,77.5,Low Risk
20,97,2,2,1,7,76,1,1,2,1,1,0,2,3,0,2,2,1,71,58.5,73.5,Low Risk
29,96,2,2,1,9,55,1,0,0,2,2,1,1,2,0,2,0,0,70,62.5,62.5,Low Risk
18,78,2,2,0,9,91,0,1,2,0,1,1,1,4,0,0,0,0,67,48.0,79.0,Low Risk
36,71,2,2,1,6,56,2,1,2,0,2,1,2,2,0,1,0,1,69,53.5,62.5,Low Risk
24,76,1,0,0,8,69,1,1,2,2,2,1,1,1,0,1,1,1,65,50.0,67.0,Low Risk
15,76,0,0,0,8,53,2,1,1,1,2,1,1,4,0,0,2,1,65,45.5,59.0,Low Risk
14,71,2,2,1,8,85,1,1,2,2,0,1,1,4,0,1,2,1,64,42.5,74.5,Low Risk
23,71,1,1,1,9,75,1,1,1,1,2,1,0,2,0,0,2,1,63,47.0,69.0,Low Risk
19,94,1,2,1,5,95,2,1,3,1,1,1,2,2,0,1,1,1,69,56.5,82.0,Low Risk
24,63,2,1,1,6,57,2,1,1,1,0,0,1,5,0,0,2,0,64,43.5,60.5,Low Risk
23,87,0,0,1,8,91,0,1,0,0,2,0,2,3,0,1,1,1,72,55.0,81.5,Low Risk
20,67,1,2,1,7,76,2,1,0,2,2,1,1,4,0,1,2,1,63,43.5,69.5,Low Risk
15,74,1,0,1,4,68,1,1,3,1,2,1,2,3,0,1,2,0,64,44.5,66.0,Low Risk
11,62,2,0,1,5,82,2,1,3,0,2,0,1,4,0,0,1,1,64,36.5,73.0,Low Risk
17,71,2,2,1,8,90,2,1,5,2,2,1,2,1,0,2,0,1,67,44.0,78.5,Low Risk
25,91,2,2,0,8,72,1,1,2,2,0,1,2,0,0,2,2,1,71,58.0,71.5,Low Risk
21,95,2,2,0,5,62,0,1,1,2,1,1,2,4,0,1,2,1,70,58.0,66.0,Low Risk
13,69,2,1,1,9,96,1,1,0,0,2,0,1,4,0,1,0,0,61,41.0,78.5,Low Risk
21,79,2,0,1,7,66,1,1,2,1,2,1,0,4,0,0,1,1,67,50.0,66.5,Low Risk
22,79,0,2,0,5,100,2,1,4,0,0,1,0,3,0,0,2,1,72,50.5,86.0,Low Risk
15,95,1,1,1,6,88,1,1,1,1,2,1,0,5,0,1,2,1,66,55.0,77.0,Low Risk
21,91,2,0,1,5,84,2,1,1,0,1,1,1,2,0,1,2,1,70,56.0,77.0,Low Risk
20,81,0,2,1,6,51,0,0,3,2,2,1,1,4,1,1,2,1,67,50.5,59.0,Low Risk
13,87,0,1,1,4,72,2,1,2,2,0,1,1,3,0,1,1,0,67,50.0,69.5,Low Risk
22,94,1,2,1,7,75,0,1,2,0,2,1,1,2,0,0,2,0,71,58.0,73.0,Low Risk
23,60,0,2,1,8,69,2,1,1,1,2,0,2,4,0,0,2,1,66,41.5,67.5,Low Risk
26,76,2,2,1,5,57,2,1,1,2,2,1,2,4,0,1,2,1,68,51.0,62.5,Low Risk
26,96,2,2,1,7,68,2,1,3,0,2,0,2,3,0,0,2,0,74,61.0,71.0,Low Risk
12,90,2,1,1,6,54,2,0,1,0,2,1,1,3,0,1,2,1,64,51.0,59.0,Low Risk
14,82,2,2,0,8,65,2,1,1,1,2,0,2,3,0,0,2,1,65,48.0,65.0,Low Risk
23,81,1,2,1,4,54,2,1,1,1,2,1,1,3,0,0,2,1,66,52.0,60.0,Low Risk
23,74,2,0,1,8,88,1,1,0,2,0,1,0,3,1,1,2,1,66,48.5,77.0,Low Risk
23,81,2,1,0,4,84,2,1,2,2,2,1,2,5,0,1,2,1,68,52.0,76.0,Low Risk
43,86,0,2,1,7,97,2,1,2,2,0,1,2,1,0,1,2,0,78,64.5,87.5,Low Risk
23,77,2,0,1,6,69,1,1,1,2,2,0,2,2,0,1,1,0,67,50.0,68.0,Low Risk
27,89,2,0,1,6,89,2,1,3,2,2,0,2,3,0,1,2,1,74,58.0,81.5,Low Risk
26,94,2,0,0,5,79,0,1,1,1,0,1,2,2,0,2,2,1,74,60.0,76.5,Low Risk
24,66,2,1,0,9,82,1,1,1,2,2,1,1,2,1,1,2,0,62,45.0,72.0,Low Risk
18,78,0,2,1,5,77,2,0,2,2,2,1,1,4,0,1,0,1,66,48.0,71.5,Low Risk
25,76,2,2,1,5,89,0,1,3,2,0,1,1,3,0,1,0,0,69,50.5,79.0,Low Risk
15,87,2,0,1,10,52,2,1,2,1,0,0,2,3,0,0,2,1,68,51.0,60.0,Low Risk
19,70,2,1,0,7,54,0,1,0,2,2,1,2,2,1,1,1,1,89,44.5,71.5,Low Risk
17,86,0,1,0,5,55,1,0,2,0,2,0,1,4,0,0,2,1,66,51.5,60.5,Low Risk
20,95,1,2,1,7,64,1,0,2,2,0,1,1,3,0,1,2,0,68,57.5,66.0,Low Risk
34,77,2,1,1,7,80,1,1,0,2,2,1,2,3,0,1,2,1,69,55.5,74.5,Low Risk
9,96,2,2,1,4,82,0,0,0,1,2,1,2,4,0,0,2,1,67,52.5,74.5,Low Risk
24,100,0,0,1,6,86,1,1,2,2,2,0,2,5,0,1,2,1,75,62.0,80.5,Low Risk
10,64,2,0,0,7,64,0,1,0,2,2,1,2,4,1,1,1,0,60,37.0,62.0,Low Risk
17,69,0,2,1,9,83,2,1,2,2,0,0,2,4,1,0,1,0,66,43.0,74.5,Low Risk
27,98,1,0,1,7,56,1,1,1,0,2,0,2,3,0,0,2,0,73,62.5,64.5,Low Risk
20,98,2,1,0,7,50,1,1,1,2,0,0,1,2,0,1,2,0,68,59.0,59.0,Low Risk
14,64,2,2,1,6,85,2,1,0,2,2,1,1,3,0,1,2,1,62,39.0,73.5,Low Risk
16,61,2,2,0,9,86,1,1,2,1,0,1,2,2,0,1,2,1,62,38.5,74.0,Low Risk
24,66,0,1,1,8,81,0,1,1,2,2,1,1,4,0,1,0,1,65,45.0,73.0,Low Risk
16,100,0,1,1,8,63,0,1,2,1,2,1,0,3,0,1,1,1,69,58.0,66.0,Low Risk
21,67,2,2,0,7,96,1,1,3,1,2,1,1,2,0,1,0,0,64,44.0,80.0,Low Risk
20,80,2,0,0,5,94,2,1,0,1,1,0,2,4,1,2,1,0,67,50.0,80.5,Low Risk
16,94,0,0,1,9,76,2,1,0,1,0,1,1,2,0,1,2,1,70,55.0,73.0,Low Risk
33,61,2,2,0,7,99,0,1,2,2,0,1,1,3,0,0,2,0,70,47.0,84.5,Low Risk
24,84,0,1,0,7,65,1,1,3,2,0,1,2,3,0,1,2,0,69,54.0,67.0,Low Risk
8,71,0,1,0,8,75,2,1,0,2,0,1,2,3,0,1,2,1,61,39.5,68.0,Low Risk
21,94,2,2,0,7,96,1,1,0,2,2,0,1,2,1,2,1,1,69,57.5,82.5,Low Risk
16,71,0,2,1,5,73,2,1,1,2,2,1,1,0,1,1,2,1,63,43.5,68.0,Low Risk
25,87,2,1,1,7,74,1,1,0,2,0,1,1,4,1,1,2,1,67,56.0,70.5,Low Risk
19,69,2,2,1,7,61,0,1,3,0,0,1,1,4,0,1,1,1,66,44.0,63.5,Low Risk
23,61,1,2,0,9,58,2,1,4,2,2,1,1,2,0,1,2,1,63,42.0,60.5,Low Risk
25,76,2,0,1,4,78,2,1,2,2,2,0,0,3,0,1,1,0,68,50.5,73.0,Low Risk
13,72,0,0,0,7,66,2,1,0,1,0,1,1,4,0,2,2,1,65,42.5,65.5,Low Risk
18,92,1,2,1,8,54,2,1,1,2,2,1,2,3,0,1,2,1,67,55.0,60.5,Low Risk
17,92,1,1,1,8,75,2,1,2,2,0,1,1,3,0,2,2,0,68,54.5,71.5,Low Risk
16,78,2,0,0,6,83,2,1,0,1,1,1,1,3,1,0,2,1,64,47.0,73.5,Low Risk
31,84,2,2,0,5,87,0,1,0,2,2,0,2,3,0,0,1,1,71,57.5,79.0,Low Risk
22,84,2,2,1,6,92,1,1,0,2,2,1,1,5,0,1,2,0,69,53.0,80.5,Low Risk
12,93,2,2,1,9,74,1,1,1,2,2,1,1,3,0,2,1,1,67,52.5,70.5,Low Risk
26,77,1,2,0,4,70,1,1,2,0,1,1,1,3,1,0,1,0,65,51.5,67.5,Low Risk
33,71,1,2,0,5,84,2,1,1,2,2,1,2,2,0,1,2,1,68,52.0,76.0,Low Risk
26,71,0,2,1,6,51,1,0,1,0,2,0,2,3,0,2,1,1,67,48.5,59.0,Low Risk
11,81,2,2,1,6,82,0,1,3,2,0,1,1,4,0,1,2,1,67,46.0,74.5,Low Risk
